Sr. No.,Location,Sub-Area,Property_type_BHK,Property Area in Sq. Ft.,Price in lakhs,Price in Millions,Company Name,TownShip Name/ Society Name,Total TownShip Area in Acres,ClubHouse,School / University in Township ,Hospital in TownShip,Mall in TownShip,Park / Jogging track,Swimming Pool,Gym
1,"Pune, Maharashtra, India",Bavdhan,1,492,39,3.9,Shapoorji Paloonji,Vanaha ,1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,"Pune, Maharashtra, India",Bavdhan,2,774,65,6.5,Shapoorji Paloonji,Vanaha ,1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3,"Pune, Maharashtra, India",Bavdhan,3,889,74,7.4,Shapoorji Paloonji,Vanaha ,1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,"Pune, Maharashtra, India",Bavdhan,3,1018,89,8.9,Shapoorji Paloonji,Vanaha ,1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,"Pune, Maharashtra, India",Mahalunge,2,743,74,7.4,Godrej Properties,Godrej Hills retreat,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,"Pune, Maharashtra, India",Mahalunge,3,975,95,9.5,Godrej Properties,Godrej Hills retreat,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,"Pune, Maharashtra, India",Balewadi,2,877 to 912,75,7.5,ANP CORP,ANP Universe,25,Yes,No,No,No,Yes,Yes,Yes
8,"Pune, Maharashtra, India",Balewadi,3,1077 to 1272,100,10,ANP CORP,ANP Universe,25,Yes,No,No,No,Yes,Yes,Yes
9,"Pune, Maharashtra, India",Ravet,2,905,65,6.5,Urban Space Creator,Urban Skyline,10,Yes,No,No,No,Yes,Yes,Yes
10,"Pune, Maharashtra, India",Ravet,3,1125,88,8.8,Urban Space Creator,Urban Skyline,10,Yes,No,No,No,Yes,Yes,Yes
11,"Pune, Maharashtra, India",Ravet,4,1644,135,13.5,Urban Space Creator,Urban Skyline,10,Yes,No,No,No,Yes,Yes,Yes
